x,y
0,1.675385
1,1.660073
2,1.620586
3,1.543224
4,1.498901
5,1.54
6,1.496484
7,1.467473
8,1.506154
9,1.510989
10,1.481978
11,1.528718
12,1.552894
13,1.507766
14,1.519048
15,1.527106
16,1.47956
17,1.459414
18,1.504542
19,1.502125
20,1.467473
21,1.486007
22,1.480366
23,1.469084
24,1.470696
25,1.477143
26,1.456996
27,1.44652
28,1.448132
29,1.417509
30,1.385275
31,1.404615
32,1.417509
33,1.398974
34,1.418315
35,1.441685
36,1.45619
37,1.476337
38,1.543224
39,1.572234
40,1.599634
41,1.65685
42,1.705202
43,1.718901
44,1.744689
45,1.777729
46,1.795458
47,1.807546
48,1.855898
49,1.876044
50,1.901026
51,1.952601
52,1.984029
53,1.965495
54,1.9663
55,1.997729
56,2.005788
57,1.986447
58,1.997729
59,1.919561
60,1.822857
61,1.811575
62,1.786593
63,1.70359
64,1.679414
65,1.686667
66,1.672967
67,1.677802
68,1.721319
69,1.734213
70,1.727766
71,1.794652
72,1.983224
73,2.16696
74,2.588425
75,2.938974
76,2.942198
77,2.384542
78,1.717289
79,1.103223
80,0.495604
81,0.615678
82,1.229744
83,1.664103
84,1.837363
85,1.859121
86,1.849451
87,1.832528
88,1.859927
89,1.856703
90,1.832528
91,1.870403
92,1.920366
93,1.914725
94,1.934066
95,1.968718
96,1.957436
97,1.968718
98,2.023517
99,2.04044
100,2.034799
101,2.091209
102,2.125861
103,2.137143
104,2.185495
105,2.250769
106,2.29348
107,2.332161
108,2.421612
109,2.494945
110,2.537656
111,2.600513
112,2.623077
113,2.591648
114,2.581172
115,2.54652
116,2.445788
117,2.364396
118,2.31685
119,2.229817
120,2.130696
121,2.070256
122,1.991282
123,1.901026
124,1.866374
125,1.830916
126,1.730183
127,1.64315
128,1.61978
129,1.582711
130,1.559341
131,1.606081
132,1.615751
133,1.594799
134,1.640733
135,1.687473
136,1.673773
137,1.709231
138,1.763224
139,1.743883
140,1.727766
141,1.767253
142,1.800293
143,1.807546
144,1.852674
145,1.884909
146,1.861539
147,1.870403
148,1.917143
149,1.924396
150,1.921172
151,1.950183
152,1.952601
153,1.927619
154,1.950183
155,1.969524
156,1.940513
157,1.937289
158,1.959854
159,1.930843
160,1.917949
161,1.947766
162,1.950183
163,1.927619
164,1.94696
165,1.959048
166,1.920366
167,1.925202
168,1.949377
169,1.926813
170,1.921978
171,1.971941
172,2.002564
173,1.994506
174,2.03641
175,2.05011
176,2.022711
177,2.066227
178,2.142784
179,2.158095
180,2.097656
181,2.062198
182,2.018681
183,1.983224
184,1.992088
185,1.981612
186,1.94293
187,1.969524
188,1.995311
189,1.976777
190,1.986447
191,2.033993
192,2.044469
193,2.093626
194,2.297509
195,2.587619
196,3.04293
197,3.235531
198,3.198462
199,2.633553
200,1.952601
201,1.194286
202,0.582637
203,0.884029
204,1.627839
205,2.058975
206,2.104103
207,2.100879
208,2.141172
209,2.131502
210,2.125055
211,2.16696
212,2.163736
213,2.133114
214,2.163736
215,2.170183
216,2.141978
217,2.141172
218,2.165348
219,2.141172
220,2.141978
221,2.178242
222,2.187912
223,2.182271
224,2.221758
225,2.247546
226,2.238681
227,2.287839
228,2.344249
229,2.364396
230,2.384542
231,2.445788
232,2.461905
233,2.448205
234,2.465934
235,2.445788
236,2.381319
237,2.341026
238,2.316044
239,2.239487
240,2.158901
241,2.12022
242,2.037216
243,1.92359
244,1.86315
245,1.790623
246,1.668938
247,1.593993
248,1.562564
249,1.482784
250,1.435238
251,1.439267
252,1.423956
253,1.397363
254,1.419121
255,1.420733
256,1.400586
257,1.422344
258,1.452967
259,1.435238
260,1.430403
261,1.454579
262,1.433626
263,1.415092
264,1.428791
265,1.433626
266,1.395751
267,1.404615
268,1.42315
269,1.396557
270,1.397363
271,1.420733
272,1.393333
273,1.369158
274,1.394945
275,1.396557
276,1.36674
277,1.382857
278,1.407839
279,1.383663
280,1.393333
281,1.432015
282,1.42315
283,1.416703
284,1.442491
285,1.443297
286,1.422344
287,1.462637
288,1.504542
289,1.492454
290,1.486813
291,1.511795
292,1.527106
293,1.544029
294,1.602051
295,1.510989
296,1.476337
297,1.469084
298,1.415897
299,1.375604
300,1.38044
301,1.373993
302,1.371575
303,1.403004
304,1.420733
305,1.406227
306,1.43685
307,1.466667
308,1.541612
309,1.739048
310,2.12022
311,2.539268
312,2.683517
313,2.349084
314,1.701978
315,1.087912
316,0.278828
317,0.0
318,0.499634
319,1.167692
320,1.476337
321,1.473919
322,1.456996
323,1.492454
324,1.485201
325,1.457802
326,1.482784
327,1.506154
328,1.485201
329,1.495678
330,1.527912
331,1.514212
332,1.515018
333,1.556923
334,1.565788
335,1.554505
336,1.589963
337,1.62381
338,1.616557
339,1.648791
340,1.714066
341,1.720513
342,1.75033
343,1.834945
344,1.878462
345,1.911502
346,1.981612
347,2.017875
348,2.005788
349,2.01707
350,2.033187
351,1.981612
352,1.936484
353,1.92359
354,1.868791
355,1.79304
356,1.748718
357,1.696337
358,1.587546
359,1.535971
360,1.488425
361,1.408645
362,1.336117
363,1.315971
364,1.266007
365,1.230549
366,1.247473
367,1.24989
368,1.225714
369,1.253114
370,1.275678
371,1.266813
372,1.270843
373,1.299853
374,1.295018
375,1.282125
376,1.303077
377,1.312747
378,1.292601
379,1.290183
380,1.315165
381,1.295018
382,1.271648
383,1.301465
384,1.291795
385,1.270843
386,1.294212
387,1.304689
388,1.292601
389,1.299853
390,1.324835
391,1.299853
392,1.295018
393,1.334506
394,1.330476
395,1.318388
396,1.378828
397,1.407839
398,1.378022
399,1.386081
400,1.430403
401,1.453773
402,1.498095
403,1.544029
404,1.504542
405,1.426374
406,1.404615
407,1.387692
408,1.327253
409,1.298242
410,1.328059
411,1.326447
412,1.336923
413,1.373993
414,1.369158
415,1.364322
416,1.404615
417,1.46022
418,1.598022
419,1.850256
420,2.291062
421,2.549744
422,2.42
423,1.846227
424,1.224103
425,0.635824
426,0.07011
427,0.238535
428,0.867912
429,1.335311
430,1.490037
431,1.476337
432,1.496484
433,1.556117
434,1.566593
435,1.56337
436,1.59641
437,1.631062
438,1.625421
439,1.646374
440,1.692308
441,1.66652
442,1.681832
443,1.735018
444,1.743077
445,1.747912
446,1.801099
447,1.825275
448,1.827692
449,1.882491
450,1.946154
451,1.969524
452,2.027546
453,2.107326
454,2.140366
455,2.161319
456,2.218535
457,2.254799
458,2.245128
459,2.25641
460,2.195165
461,2.147619
462,2.130696
463,2.065421
464,1.996923
465,1.955018
466,1.870403
467,1.749524
468,1.711648
469,1.649597
470,1.564176
471,1.513407
472,1.51663
473,1.482784
474,1.456996
475,1.477143
476,1.478755
477,1.457802
478,1.478755
479,1.505348
480,1.484396
481,1.485201
482,1.514212
483,1.499707
484,1.487619
485,1.512601
486,1.515824
487,1.490037
488,1.506154
489,1.519048
490,1.494066
491,1.496484
492,1.523883
493,1.502125
494,1.46989
495,1.507766
496,1.504542
497,1.477143
498,1.485201
499,1.509377
500,1.510989
501,1.531941
502,1.540806
503,1.5263
504,1.54967
505,1.605275
506,1.646374
507,1.618974
508,1.590769
509,1.561758
510,1.510989
511,1.508571
512,1.504542
513,1.466667
514,1.470696
515,1.523883
516,1.535165
517,1.512601
518,1.543224
519,1.569817
520,1.559341
521,1.688278
522,1.929231
523,2.251575
524,2.63033
525,2.814066
526,2.460293
527,1.65685
528,1.041978
529,0.390037
530,0.232894
531,0.863077
532,1.477143
533,1.66652
534,1.663297
535,1.716484
536,1.744689
537,1.737436
538,1.780147
539,1.801099
540,1.789011
541,1.807546
542,1.852674
543,1.851062
544,1.888938
545,1.893773
546,1.905861
547,1.930037
548,1.962271
549,1.957436
550,1.986447
551,2.038022
552,2.046081
553,2.077509
554,2.142784
555,2.177436
556,2.194359
557,2.262051
558,2.298315
559,2.287033
560,2.297509
561,2.307179
562,2.259634
563,2.208059
564,2.183077
565,2.123443
566,2.038022
567,2.000952
568,1.948572
569,1.843004
570,1.768865
571,1.715678
572,1.618168
573,1.5537
574,1.528718
575,1.484396
576,1.451355
577,1.452967
578,1.457802
579,1.424762
580,1.443297
581,1.470696
582,1.440073
583,1.427179
584,1.464249
585,1.455385
586,1.425568
587,1.45619
588,1.464249
589,1.432015
590,1.440073
591,1.472308
592,1.438462
593,1.427985
594,1.455385
595,1.442491
596,1.422344
597,1.440073
598,1.449744
599,1.417509
600,1.423956
601,1.453773
602,1.423956
603,1.415092
604,1.44652
605,1.431209
606,1.415092
607,1.465055
608,1.491648
609,1.468278
610,1.472308
611,1.498901
612,1.509377
613,1.533553
614,1.598022
615,1.576264
616,1.501319
617,1.481172
618,1.464249
619,1.410256
620,1.394139
621,1.407033
622,1.403004
623,1.406227
624,1.443297
625,1.442491
626,1.440879
627,1.472308
628,1.521465
629,1.656044
630,1.90022
631,2.349084
632,2.690769
633,2.702857
634,2.175824
635,1.394139
636,0.700293
637,0.112821
638,0.386813
639,1.046813
640,1.491648
641,1.616557
642,1.589963
643,1.602857
644,1.660073
645,1.659268
646,1.656044
647,1.695531
648,1.714066
649,1.697949
650,1.733407
651,1.772088
652,1.762418
653,1.776923
654,1.83011
655,1.83978
656,1.841392
657,1.90022
658,1.918755
659,1.920366
660,1.975165
661,2.033993
662,2.047692
663,2.083956
664,2.16293
665,2.184689
666,2.205641
667,2.259634
668,2.282198
669,2.253993
670,2.252381
671,2.24674
672,2.192747
673,2.150843
674,2.133114
675,2.064615
676,1.997729
677,1.962271
678,1.89055
679,1.784982
680,1.735824
681,1.683443
682,1.598828
683,1.566593
684,1.567399
685,1.527106
686,1.500513
687,1.528718
688,1.527106
689,1.514212
690,1.527106
691,1.537582
692,1.519048
693,1.51663
694,1.541612
695,1.514212
696,1.496484
697,1.522271
698,1.525494
699,1.495678
700,1.514212
701,1.51663
702,1.489231
703,1.490037
704,1.518242
705,1.488425
706,1.472308
707,1.504542
708,1.508571
709,1.478755
710,1.501319
711,1.517436
712,1.498095
713,1.500513
714,1.523077
715,1.505348
716,1.499707
717,1.519048
718,1.523883
719,1.517436
720,1.569817
721,1.588352
722,1.54967
723,1.565788
724,1.627033
725,1.642344
726,1.667326
727,1.663297
728,1.594799
729,1.541612
730,1.543224
731,1.523883
732,1.448938
733,1.448132
734,1.478755
735,1.473919
736,1.466667
737,1.498095
738,1.492454
739,1.487619
740,1.572234
741,1.765641
742,1.952601
743,2.368425
744,2.724615
745,2.639194
746,2.004982
747,1.313553
748,0.676923
749,0.14022
750,0.425495
751,1.069377
752,1.456996
753,1.589157
754,1.614139
755,1.620586
756,1.644762
757,1.685861
758,1.692308
759,1.689084
760,1.723736
761,1.759194
762,1.747106
763,1.765641
764,1.797876
765,1.804322
766,1.847839
767,1.859927
768,1.849451
769,1.899414
770,1.932454
771,1.93326
772,1.975165
773,2.047692
774,2.075092
775,2.087986
776,2.158095
777,2.179853
778,2.178242
779,2.204029
780,2.203223
781,2.152454
782,2.13956
783,2.136337
784,2.06381
785,2.012234
786,1.991282
787,1.927619
788,1.847839
789,1.810769
790,1.758388
791,1.659268
792,1.604469
793,1.58674
794,1.53033
795,1.498095
796,1.510989
797,1.481978
798,1.449744
799,1.497289
800,1.499707
801,1.478755
802,1.49326
803,1.518242
804,1.496484
805,1.498095
806,1.5263
807,1.510989
808,1.492454
809,1.520659
810,1.534359
811,1.497289
812,1.510989
813,1.531941
814,1.498095
815,1.488425
816,1.514212
817,1.494872
818,1.470696
819,1.497289
820,1.498095
821,1.472308
822,1.486007
823,1.509377
824,1.481978
825,1.472308
826,1.507766
827,1.521465
828,1.520659
829,1.544835
830,1.552894
831,1.5537
832,1.598828
833,1.655238
834,1.625421
835,1.588352
836,1.572234
837,1.531941
838,1.494872
839,1.481172
840,1.456996
841,1.433626
842,1.473114
843,1.501319
844,1.477143
845,1.490037
846,1.520659
847,1.621392
848,1.864762
849,2.205641
850,2.602125
851,2.797949
852,2.510257
853,1.744689
854,1.041978
855,0.319927
856,0.216777
857,0.81956
858,1.405421
859,1.602051
860,1.592381
861,1.623004
862,1.674579
863,1.661685
